Loyalty Number,total_flights,total_distance,total_pts_acc,total_pts_red,total_cost_redeemed,months_with_flights,total_months_obs,recency_months,activity_rate,redemption_rate,h1_monthly_avg,h2_monthly_avg,activity_trend,seasonal_concentration,flights_q1,flights_q2,flights_q3,flights_q4,avg_flights_last6m,Province,Gender,Education,Salary_imputed,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,churned_formal,churned_behavioral,enrollment_date,tenure_months,loyalty_card_enc,gender_enc,enrolled_standard,churn_probability,risk_tier,risk_rank,cluster,segment
100018,46,81190,81190.0,1513,272,18,24,0.0,0.75,0.0186,1.1667,2.1667,1.0,0.3913,9,3,16,18,2.8333,Alberta,Female,Bachelor,92552.0,Married,Aurora,7919.2,Standard,2016,8,,0,0,2016-08-01,28,2,1,1,0.0,Low,0.2349286013025034,1,New Engagers II
100102,51,68918,68918.0,1195,215,17,24,0.0,0.7083,0.0173,1.8333,2.2222,0.3889,0.3529,10,10,13,18,2.8333,Ontario,Male,College,73327.0,Single,Nova,2887.74,Standard,2013,3,,0,0,2013-03-01,69,1,0,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
100140,47,72856,72856.0,593,107,17,24,1.0,0.7083,0.0081,1.3333,2.1667,0.8334,0.3191,9,13,15,10,1.8333,British Columbia,Female,College,73327.0,Divorced,Nova,2838.07,Standard,2016,7,,0,0,2016-07-01,29,1,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
100214,22,38236,38236.0,861,155,9,24,0.0,0.375,0.0225,0.3333,1.1111,0.7778,0.4091,3,2,8,9,1.5,British Columbia,Male,Bachelor,63253.0,Married,Star,4170.57,Standard,2015,8,,0,0,2015-08-01,40,0,0,1,0.0,Low,0.2349286013025034,1,New Engagers II
100272,37,54997,54997.0,1007,182,13,24,1.0,0.5417,0.0183,2.3333,1.2778,-1.0555,0.4054,7,15,7,8,1.5,Ontario,Female,Bachelor,91163.0,Divorced,Star,6622.05,Standard,2014,1,,0,0,2014-01-01,59,0,1,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
100301,41,62849,62849.0,1381,249,16,24,0.0,0.6667,0.022,2.6667,1.3889,-1.2778,0.2927,8,10,12,11,1.3333,Ontario,Male,Bachelor,70323.0,Divorced,Nova,48356.96,Standard,2013,9,,0,0,2013-09-01,63,1,0,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
100364,33,45955,45955.0,559,101,12,24,0.0,0.5,0.0122,1.6667,1.2778,-0.3889,0.3939,1,13,11,8,1.1667,Saskatchewan,Male,Bachelor,76849.0,Married,Nova,5143.88,Standard,2015,5,,0,0,2015-05-01,43,1,0,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
100380,33,55270,55270.0,1142,206,15,24,0.0,0.625,0.0207,1.1667,1.4444,0.2777,0.4545,6,6,6,15,1.8333,Quebec,Female,Bachelor,69695.0,Single,Star,2465.62,Standard,2012,10,,0,0,2012-10-01,74,0,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
100428,35,58281,58281.0,1658,298,14,24,0.0,0.5833,0.0284,1.1667,1.5556,0.3889,0.3143,10,5,11,9,2.5,British Columbia,Male,Bachelor,63478.0,Married,Aurora,5845.43,Standard,2012,8,,0,0,2012-08-01,76,2,0,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
100504,19,27837,27837.0,0,0,6,24,10.0,0.25,0.0,0.0,1.0556,1.0556,0.5263,6,0,3,10,0.0,Ontario,Female,Bachelor,75638.0,Divorced,Nova,8807.61,Standard,2017,7,2018.0,1,0,2017-07-01,17,1,1,1,0.0001,Medium,0.6197347194837785,2,Dormant High-Value
100550,42,51687,51687.0,1114,201,16,24,2.0,0.6667,0.0216,1.8333,1.7222,-0.1111,0.3333,14,9,13,6,1.1667,Quebec,Female,Bachelor,54133.0,Married,Nova,7861.8,Standard,2013,2,,0,0,2013-02-01,70,1,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
100585,41,68112,68112.0,2397,432,14,24,0.0,0.5833,0.0352,1.6667,1.7222,0.0555,0.3659,13,6,15,7,1.8333,Manitoba,Male,Bachelor,96269.0,Divorced,Star,7334.33,Standard,2013,11,,0,0,2013-11-01,61,0,0,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
100590,28,30948,46422.0,512,92,3,11,5.0,0.2727,0.011,0.0,1.5556,1.5556,0.5714,0,16,12,0,2.0,British Columbia,Female,Bachelor,69841.0,Married,Star,34090.04,2018 Promotion,2018,3,,0,0,2018-03-01,9,0,1,0,0.0002,High,0.8719005795542809,1,New Engagers II
100642,36,53386,53386.0,502,90,15,24,1.0,0.625,0.0094,1.1667,1.6111,0.4444,0.4167,3,8,15,10,1.8333,Quebec,Female,Bachelor,51667.0,Married,Nova,4892.63,Standard,2012,5,,0,0,2012-05-01,79,1,1,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
100644,29,45939,45939.0,2277,410,12,24,1.0,0.5,0.0496,2.0,0.9444,-1.0556,0.3448,6,10,8,5,1.1667,Alberta,Female,Master,94440.0,Divorced,Star,4458.11,Standard,2015,7,,0,0,2015-07-01,41,0,1,1,0.0001,Medium,0.6197347194837785,4,Loyal Frequent Fliers
100646,30,41715,41715.0,559,101,13,24,1.0,0.5417,0.0134,0.6667,1.4444,0.7777,0.4333,1,13,10,6,1.3333,Newfoundland,Female,Bachelor,101933.0,Married,Star,2471.53,Standard,2015,10,,0,0,2015-10-01,38,0,1,1,0.0,Low,0.2349286013025034,1,New Engagers II
100727,48,75593,75593.0,1570,283,16,24,0.0,0.6667,0.0208,1.3333,2.2222,0.8889,0.3333,10,15,16,7,1.6667,Quebec,Male,Master,128118.0,Married,Nova,3873.65,Standard,2014,3,,0,0,2014-03-01,57,1,0,1,0.0,Low,0.2349286013025034,4,Loyal Frequent Fliers
100737,47,66830,66830.0,2357,425,15,24,1.0,0.625,0.0353,0.6667,2.3889,1.7222,0.383,5,13,18,11,2.5,British Columbia,Female,College,73135.0,Single,Star,12786.67,Standard,2017,4,,0,0,2017-04-01,20,0,1,1,0.0,Low,0.2349286013025034,1,New Engagers II
