Loyalty Number,months_with_flights,total_flights,total_distance,total_pts_acc,total_pts_red
100018,18,46,81190,81190.0,1513
100102,17,51,68918,68918.0,1195
100140,17,47,72856,72856.0,593
100214,9,22,38236,38236.0,861
100272,13,37,54997,54997.0,1007
100301,16,41,62849,62849.0,1381
100364,12,33,45955,45955.0,559
100380,15,33,55270,55270.0,1142
100428,14,35,58281,58281.0,1658
100504,6,19,27837,27837.0,0
100550,16,42,51687,51687.0,1114
100585,14,41,68112,68112.0,2397
100590,3,28,30948,46422.0,512
100642,15,36,53386,53386.0,502
100644,12,29,45939,45939.0,2277
100646,13,30,41715,41715.0,559
100727,16,48,75593,75593.0,1570
100737,15,47,66830,66830.0,2357
100753,16,51,64171,64171.0,750
100816,14,31,47653,47653.0,0
100853,13,39,47403,47403.0,579
100883,12,34,53659,53659.0,0
100890,13,27,39394,39394.0,1612
101018,16,41,71919,71919.0,1186
101148,11,30,47570,47570.0,714
101356,0,0,0,0.0,0
101363,11,31,50697,50697.0,1760
101487,20,56,72589,72589.0,2912
101515,12,29,50433,50433.0,2043
101540,12,30,49094,49094.0,931
101544,15,40,61432,61432.0,1722
101547,7,17,32918,32918.0,576
101581,14,36,49542,49542.0,1104
101594,16,43,58229,58229.0,1319
101644,1,2,2974,2974.0,0
101663,15,41,60109,60109.0,961
101664,14,29,40987,40987.0,0
101709,16,38,59596,59596.0,456
101768,1,1,1733,1733.0,0
101876,5,12,18264,18264.0,1187
101895,13,27,47305,47305.0,0
101902,31,77,131909,131909.0,1302
101945,16,39,63004,63004.0,1219
102168,8,25,40495,40495.0,0
102184,16,45,69058,69058.0,0
102207,10,25,37889,37889.0,0
102299,16,48,59570,59570.0,0
102308,0,0,0,0.0,0
102311,16,51,83581,83581.0,1396
102376,6,73,79580,119370.0,556
102464,8,14,17067,17067.0,761
102615,1,2,4556,4556.0,0
102726,8,21,25020,25020.0,1426
102730,9,27,41890,41890.0,0
102740,2,5,8927,8927.0,0
102788,8,84,135657,203485.5,0
102851,16,39,53975,53975.0,1247
102877,14,45,75358,75358.0,908
102982,10,29,34835,34835.0,0
103043,16,43,66356,66356.0,449
103151,15,31,52486,52486.0,912
103217,11,36,56399,56399.0,0
103304,17,37,62563,62563.0,947
103340,13,44,62122,62122.0,0
103352,0,0,0,0.0,0
103359,18,53,82249,82249.0,564
103362,1,3,4485,4485.0,0
103383,0,0,0,0.0,0
103436,17,49,86455,86455.0,902
103490,16,45,74308,74308.0,0
103502,8,18,30244,30244.0,344
103536,19,59,80954,80954.0,539
103699,8,24,36719,36719.0,0
103731,13,33,53860,53860.0,489
103758,5,18,27295,27295.0,0
103823,16,42,57809,57809.0,1014
103860,17,40,65428,65428.0,1794
103862,14,37,69191,69191.0,2686
103916,13,36,54436,54436.0,892
103969,14,33,46744,46744.0,1131
103970,17,45,56234,56234.0,0
103975,4,15,18061,18061.0,1102
103985,3,4,6269,6269.0,0
104103,12,32,40470,40470.0,742
104267,5,38,61606,92409.0,0
104353,16,42,73980,73980.0,526
104431,14,43,77644,77644.0,1771
104541,16,34,40283,40283.0,1472
104586,13,40,65640,65640.0,473
104673,16,48,64770,64770.0,546
104732,12,37,54081,54081.0,403
104739,0,0,0,0.0,0
104849,16,35,53641,53641.0,363
104960,9,32,48555,48555.0,589
105063,4,27,40695,61042.5,0
105073,7,52,43874,65811.0,0
105074,17,46,66078,66078.0,1567
105145,0,0,0,0.0,0
105193,1,3,6621,6621.0,0
105214,14,35,52473,52473.0,1847
105251,3,10,20733,20733.0,0
105335,13,36,62882,62882.0,2193
105352,0,0,0,0.0,0
105552,11,30,58554,58554.0,819
105688,17,45,71537,71537.0,1004
105700,0,0,0,0.0,0
105712,11,31,46412,46412.0,1168
105789,15,38,68173,68173.0,687
105835,6,35,41790,62685.0,0
105841,8,73,105928,158892.0,522
105921,14,49,70250,70250.0,1753
105932,13,30,55256,55256.0,765
105992,14,42,61310,61310.0,1647
106001,33,76,119565,119565.0,2698
106037,17,51,68781,68781.0,0
106038,14,32,44279,44279.0,1377
106046,7,48,98729,148093.5,943
106048,1,3,2103,2103.0,0
106218,16,38,53572,53572.0,1209
106397,11,25,35660,35660.0,450
106444,5,14,19680,19680.0,1590
106477,11,23,29743,29743.0,0
106509,3,10,13811,13811.0,0
106589,0,0,0,0.0,0
106592,15,47,76347,76347.0,1003
106616,3,6,9406,9406.0,0
106623,2,4,2092,2092.0,0
106637,14,32,48721,48721.0,1770
106689,9,23,34355,34355.0,1690
106754,12,31,33368,33368.0,1167
106757,12,35,53926,53926.0,0
106776,13,43,68400,68400.0,1109
106838,16,39,71555,71555.0,0
106839,16,45,64569,64569.0,662
106936,15,45,71149,71149.0,948
106946,19,50,78216,78216.0,2449
106964,2,4,5889,5889.0,512
106978,18,46,70762,70762.0,386
106979,15,38,66576,66576.0,1530
107037,12,31,37882,37882.0,669
107067,16,35,46235,46235.0,1531
107119,18,47,73636,73636.0,995
107141,12,33,44019,44019.0,1950
107203,14,47,65065,65065.0,1110
107212,15,39,58002,58002.0,2586
107296,11,21,30104,30104.0,625
107385,8,22,27287,27287.0,1331
107420,7,18,24132,24132.0,680
107461,9,18,21476,21476.0,551
107466,12,24,36441,36441.0,491
107487,9,18,33663,33663.0,379
107519,7,61,95293,142939.5,501
107571,11,31,38467,38467.0,1175
107649,17,45,74576,74576.0,1296
107719,14,30,36129,36129.0,1573
107730,13,37,64714,64714.0,1132
107835,2,5,7565,7565.0,424
107902,11,32,53948,53948.0,528
107993,14,32,45033,45033.0,0
108264,22,68,103366,103366.0,2676
108346,5,10,17116,17116.0,0
108367,6,14,19611,19611.0,0
108381,15,40,50725,50725.0,1618
108430,19,47,87628,87628.0,342
108440,14,35,42687,42687.0,864
108462,15,37,62792,62792.0,1945
108481,0,0,0,0.0,0
108528,16,51,78024,78024.0,595
108625,18,46,69314,69314.0,932
108666,13,26,40864,40864.0,2005
108857,4,10,7254,7254.0,986
108896,4,9,11764,11764.0,0
108907,15,37,56340,56340.0,1570
109022,11,27,35598,35598.0,453
109023,12,35,64655,64655.0,1648
109029,1,2,3944,3944.0,0
109203,14,41,62207,62207.0,429
109399,12,33,58851,58851.0,0
109478,14,44,85316,85316.0,574
109495,16,44,75183,75183.0,454
109517,12,34,45001,45001.0,986
109552,11,22,26865,26865.0,0
109612,7,17,30477,30477.0,667
109660,16,42,69953,69953.0,1284
109767,19,44,66909,66909.0,1752
109840,12,27,44876,44876.0,529
109896,14,42,62398,62398.0,780
109903,14,38,47019,47019.0,1115
109956,6,16,27586,27586.0,0
110001,13,32,47676,47676.0,1034
110030,4,12,12015,12015.0,0
110065,9,97,140924,211386.0,0
110073,0,0,0,0.0,0
110099,13,36,59296,59296.0,1486
110142,6,73,106897,160345.5,334
110170,4,7,11198,11198.0,523
110211,8,26,38248,38248.0,0
110262,7,45,76551,114826.5,808
110296,14,34,53546,53546.0,488
110394,18,46,66002,66002.0,1113
110422,6,14,12513,12513.0,0
110476,18,47,66715,66715.0,1851
110603,0,0,0,0.0,0
110678,15,37,56217,56217.0,748
110691,13,30,49309,49309.0,503
110752,17,41,62023,62023.0,409
111022,11,28,44035,44035.0,1095
111034,15,49,80677,80677.0,1503
111171,16,45,57660,57660.0,837
111176,15,37,59430,59430.0,1718
111255,17,48,65856,65856.0,0
111286,16,32,49103,49103.0,332
111329,15,36,44314,44314.0,2311
111387,0,0,0,0.0,0
111485,19,51,73149,73149.0,2388
111507,12,29,40465,40465.0,1689
111573,13,42,73431,73431.0,605
111584,11,25,32533,32533.0,1262
111646,8,24,45971,45971.0,1100
111788,19,65,95902,95902.0,1356
111899,5,16,24779,24779.0,998
111912,15,47,77676,77676.0,628
112026,18,56,99150,99150.0,989
112142,15,39,56357,56357.0,979
112226,13,38,70245,70245.0,1351
112393,14,48,80936,80936.0,2163
112522,9,50,69086,103629.0,0
112632,16,47,76426,76426.0,676
112661,4,10,9526,9526.0,597
112678,12,29,50550,50550.0,1621
112709,14,36,58414,58414.0,0
112732,15,37,65331,65331.0,1154
112733,15,46,55364,55364.0,0
112797,0,0,0,0.0,0
112842,12,32,60931,60931.0,1223
112856,15,42,68536,68536.0,2105
112863,17,40,56146,56146.0,1646
112894,0,0,0,0.0,0
113040,12,29,55322,55322.0,0
113184,4,13,17942,17942.0,0
113220,14,36,53362,53362.0,1732
113293,4,9,11095,11095.0,0
113316,5,15,26262,26262.0,562
113363,8,22,43708,43708.0,0
113442,2,5,9571,9571.0,0
113476,19,48,76252,76252.0,574
113529,3,6,13405,13405.0,0
113558,14,32,40426,40426.0,1662
113578,2,3,1799,1799.0,0
113656,0,0,0,0.0,0
113679,17,52,66901,66901.0,341
113694,17,53,88235,88235.0,2774
113755,7,18,19113,19113.0,460
113779,15,37,45219,45219.0,521
113804,10,25,32637,32637.0,1341
113831,18,57,72210,72210.0,470
113839,10,30,49824,49824.0,857
113861,10,26,34699,34699.0,727
113864,7,16,17202,17202.0,521
113874,6,42,78775,118162.5,0
113877,13,45,81297,81297.0,787
113904,15,44,48694,48694.0,958
113919,15,35,61012,61012.0,1189
114018,14,33,48336,48336.0,480
114021,14,46,69349,69349.0,671
114131,6,49,84772,127158.0,440
114214,6,16,20894,20894.0,0
114219,15,35,49604,49604.0,914
114242,12,38,53004,53004.0,953
114307,15,33,46919,46919.0,733
114399,2,4,4809,4809.0,0
114414,23,57,98309,98309.0,353
114493,11,32,52349,52349.0,677
114553,18,41,61201,61201.0,885
114638,17,51,63893,63893.0,495
114700,5,16,18282,18282.0,0
114743,8,15,22328,22328.0,527
114835,13,30,42008,42008.0,0
114857,14,38,52595,52595.0,533
114903,13,36,53090,53090.0,457
114924,6,13,22222,22222.0,0
114927,11,31,40489,40489.0,1232
114983,10,27,44033,44033.0,0
115198,0,0,0,0.0,0
115322,17,48,76273,76273.0,1320
115354,16,52,79226,79226.0,1546
115405,13,35,67404,67404.0,1636
115427,18,46,61723,61723.0,1028
115505,3,26,59434,89151.0,0
115529,12,34,47356,47356.0,401
115633,17,43,63347,63347.0,368
115705,17,40,59658,59658.0,983
115749,4,9,12514,12514.0,0
115805,15,46,63394,63394.0,1668
115852,15,38,62941,62941.0,0
116016,16,43,66457,66457.0,1116
116045,19,49,79559,79559.0,373
116164,5,9,15501,15501.0,1516
116207,5,14,25324,25324.0,0
116238,4,15,23059,23059.0,861
116288,11,33,47604,47604.0,1051
116332,17,48,72114,72114.0,895
116372,13,35,45847,45847.0,663
116562,3,11,15412,15412.0,531
116703,12,25,38896,38896.0,1530
116732,10,22,39329,39329.0,670
116735,16,42,54211,54211.0,1371
116895,4,38,44670,67005.0,497
116897,3,10,18542,18542.0,1238
116932,12,39,57913,57913.0,1713
116948,9,14,18662,18662.0,1469
116999,14,40,62784,62784.0,0
117033,14,35,42469,42469.0,953
117053,13,36,67867,67867.0,1019
117169,16,40,57471,57471.0,471
117219,17,46,80346,80346.0,1575
117240,8,19,28749,28749.0,0
117333,18,62,81641,81641.0,1708
117342,15,42,49782,49782.0,929
117351,0,0,0,0.0,0
117358,1,3,4368,4368.0,0
117408,16,44,73206,73206.0,0
117456,17,51,77607,77607.0,944
117460,14,34,48495,48495.0,1412
117482,8,78,84355,126532.5,511
117618,14,29,39486,39486.0,1192
117725,0,0,0,0.0,0
117782,17,46,76507,76507.0,1268
117832,0,0,0,0.0,0
117910,12,33,44863,44863.0,0
117915,7,77,134908,202362.0,0
117932,12,25,42732,42732.0,572
117939,4,8,9058,9058.0,0
117975,1,1,1030,1030.0,0
118076,15,38,60263,60263.0,1704
118298,0,0,0,0.0,0
118320,15,40,60927,60927.0,1437
118332,14,33,54604,54604.0,782
118355,10,21,25446,25446.0,515
118365,13,30,48598,48598.0,934
118376,2,8,10291,10291.0,487
118379,9,27,38304,38304.0,0
118418,7,79,103492,155238.0,355
118511,2,4,5384,5384.0,0
118514,2,8,16759,16759.0,0
118612,9,21,30075,30075.0,0
118628,14,47,82624,82624.0,412
118632,18,48,84784,84784.0,463
118675,16,40,59391,59391.0,0
118688,0,0,0,0.0,0
118729,6,9,11777,11777.0,0
118864,15,38,52921,52921.0,0
119009,13,33,52761,52761.0,0
119015,5,14,24228,24228.0,0
119135,15,44,62976,62976.0,1664
119198,6,41,42847,64270.5,0
119200,13,31,44595,44595.0,1004
119408,1,4,4900,4900.0,0
119460,14,28,37174,37174.0,696
119488,11,33,38383,38383.0,0
119519,14,32,56036,56036.0,1444
119633,14,32,44471,44471.0,753
119634,8,60,103649,155473.5,0
119638,4,53,67196,100794.0,0
119690,0,0,0,0.0,0
119731,14,42,70209,70209.0,2071
119837,14,37,60609,60609.0,1813
119845,14,40,41995,41995.0,336
119917,0,0,0,0.0,0
119997,17,49,71163,71163.0,1221
120046,8,18,26202,26202.0,1339
120126,11,26,45865,45865.0,1010
120140,15,39,60028,60028.0,1044
120164,16,48,64048,64048.0,1095
120192,14,39,55642,55642.0,1266
120206,0,0,0,0.0,0
120393,11,38,57003,57003.0,1545
120434,9,23,29858,29858.0,1135
120554,14,30,51751,51751.0,1733
120583,17,41,63078,63078.0,1302
120594,18,50,75531,75531.0,1609
120613,11,29,45828,45828.0,1552
120635,0,0,0,0.0,0
120799,11,22,28399,28399.0,914
120868,14,36,57393,57393.0,930
121068,12,39,50529,50529.0,2050
121095,16,40,58553,58553.0,514
121139,13,35,51947,51947.0,1262
121183,17,55,79828,79828.0,0
121236,4,7,10757,10757.0,1027
121351,3,11,14671,22006.5,0
121410,20,60,93487,93487.0,1915
121469,0,0,0,0.0,0
121605,17,54,83847,83847.0,414
121710,16,44,59199,59199.0,1238
121737,9,26,42546,42546.0,735
121751,4,9,11918,11918.0,392
121856,9,18,23850,23850.0,0
121919,12,24,36131,36131.0,1007
121930,1,3,3672,3672.0,0
121935,11,25,31699,31699.0,411
121999,0,0,0,0.0,0
122009,8,17,27883,27883.0,775
122020,19,50,72853,72853.0,3969
122049,13,39,60575,60575.0,757
122094,11,26,30818,30818.0,1251
122166,11,36,55983,55983.0,875
122173,0,0,0,0.0,0
122206,0,0,0,0.0,0
122283,10,28,50647,50647.0,1558
122357,12,28,44436,44436.0,0
122456,15,38,64912,64912.0,777
122517,1,4,6476,6476.0,0
122519,6,41,91692,137538.0,733
122545,12,27,37557,37557.0,921
122561,4,13,20844,20844.0,0
122577,12,33,48523,48523.0,585
122685,13,33,53257,53257.0,795
122797,6,58,91964,137946.0,0
122858,5,9,12097,12097.0,350
122890,14,41,63795,63795.0,457
122946,11,28,36462,36462.0,0
122958,20,59,89490,89490.0,1631
123060,17,51,92298,92298.0,423
123083,17,48,68460,68460.0,770
123094,8,24,33723,33723.0,337
123115,12,29,27967,27967.0,2398
123151,0,0,0,0.0,0
123164,13,38,50607,50607.0,467
123344,14,32,46876,46876.0,2578
123393,12,32,50142,50142.0,0
123420,18,43,55878,55878.0,1172
123525,16,45,69081,69081.0,466
123538,0,0,0,0.0,0
123586,12,30,41264,41264.0,1199
123667,12,24,29612,29612.0,982
123668,17,56,82828,82828.0,1597
123697,13,39,46301,46301.0,0
123702,12,34,41533,41533.0,910
123727,6,21,35043,35043.0,531
123773,16,39,53098,53098.0,363
123780,0,0,0,0.0,0
123784,0,0,0,0.0,0
123830,2,3,6805,6805.0,910
123908,10,22,39080,39080.0,668
123928,0,0,0,0.0,0
123944,9,23,38429,38429.0,320
124038,13,40,66946,66946.0,370
124056,13,31,46566,46566.0,526
124085,7,25,25270,25270.0,482
124088,11,38,64876,64876.0,0
124119,11,24,35422,35422.0,571
124195,6,21,37848,37848.0,0
124207,2,6,11027,11027.0,0
124351,0,0,0,0.0,0
124355,11,35,50877,50877.0,1219
124377,1,1,1509,1509.0,0
124536,0,0,0,0.0,0
124678,16,51,74440,74440.0,304
124761,14,43,70893,70893.0,0
124931,0,0,0,0.0,0
124987,0,0,0,0.0,0
125059,2,5,10614,10614.0,0
125068,6,67,94402,141603.0,433
125300,14,38,57555,57555.0,906
125393,15,41,47264,47264.0,1516
125493,2,7,4739,4739.0,0
125606,0,0,0,0.0,0
125919,14,31,43554,43554.0,525
125969,17,47,86854,86854.0,569
125996,11,31,40231,40231.0,858
126097,17,48,56069,56069.0,2882
126100,0,0,0,0.0,0
126148,0,0,0,0.0,0
126181,0,0,0,0.0,0
126216,19,41,55958,55958.0,524
126219,15,37,44095,44095.0,727
126239,13,27,41984,41984.0,1035
126262,17,46,64955,64955.0,0
126308,0,0,0,0.0,0
126424,11,29,34157,34157.0,0
126466,14,38,51080,51080.0,2083
126490,19,36,51217,51217.0,1910
126526,0,0,0,0.0,0
126581,18,57,93150,93150.0,1564
126665,15,35,55402,55402.0,2046
127039,18,49,66643,66643.0,1019
127052,0,0,0,0.0,0
127127,15,45,61076,61076.0,0
127128,9,27,40583,40583.0,1545
127137,20,46,69880,69880.0,2694
127185,11,37,59999,59999.0,0
127241,3,11,17369,17369.0,0
127279,15,37,47772,47772.0,370
127289,12,30,41431,41431.0,2601
127311,12,31,47100,47100.0,570
127350,17,42,59965,59965.0,0
127400,12,29,37546,37546.0,528
127410,13,42,51430,51430.0,0
127496,1,4,7124,7124.0,0
127590,15,35,55908,55908.0,528
127645,17,42,67827,67827.0,1489
127663,13,42,78635,78635.0,937
127725,13,30,45967,45967.0,330
127785,17,44,64497,64497.0,0
127827,11,25,37477,37477.0,1286
127882,11,28,49153,49153.0,993
127946,13,39,61098,61098.0,1060
127966,14,31,52634,52634.0,0
128007,15,48,66231,66231.0,1987
128032,9,11,15008,15008.0,1277
128039,15,43,61825,61825.0,635
128041,15,36,56745,56745.0,1062
128156,20,61,88033,88033.0,1486
128210,13,37,47016,47016.0,0
128245,1,3,1935,1935.0,0
128280,9,29,46640,46640.0,613
128325,10,33,49065,49065.0,1020
128405,0,0,0,0.0,0
128459,17,46,60406,60406.0,1466
128467,17,44,63704,63704.0,4042
128475,11,26,31986,31986.0,1212
128534,13,33,47122,47122.0,1182
128572,4,7,8624,8624.0,424
128587,9,21,28921,28921.0,1028
128611,17,46,56870,56870.0,953
128615,0,0,0,0.0,0
128633,10,26,43091,43091.0,1994
128749,2,6,6772,6772.0,463
128753,0,0,0,0.0,0
128754,6,14,20493,20493.0,0
128789,16,39,64256,64256.0,525
128950,18,38,62350,62350.0,1034
128975,14,40,43994,43994.0,426
129030,16,51,75189,75189.0,1525
129071,0,0,0,0.0,0
129171,5,11,16535,16535.0,601
129328,0,0,0,0.0,0
129343,15,31,42674,42674.0,379
129372,19,49,69003,69003.0,2905
129409,5,53,84372,126558.0,0
129429,16,54,78613,78613.0,793
129434,17,38,55913,55913.0,374
129510,10,28,37856,37856.0,0
129515,12,24,35163,35163.0,0
129533,0,0,0,0.0,0
129555,17,41,54404,54404.0,2289
129743,0,0,0,0.0,0
129817,10,28,33031,33031.0,0
129827,13,29,36828,36828.0,720
129914,14,35,42033,42033.0,1758
129976,15,35,59668,59668.0,3397
130032,5,17,26686,40029.0,0
130077,12,24,26277,26277.0,417
130086,16,42,63960,63960.0,593
130179,2,5,3223,3223.0,0
130208,16,50,69551,69551.0,0
130217,1,1,527,527.0,0
130326,10,30,35021,35021.0,653
130331,15,35,51985,51985.0,888
130368,16,39,60011,60011.0,350
130419,14,39,55920,55920.0,1121
130439,5,12,15144,15144.0,0
130446,5,38,63704,95556.0,392
130497,8,53,99910,149865.0,0
130548,17,52,68951,68951.0,1032
130593,17,37,62794,62794.0,1296
130823,12,31,46444,46444.0,554
130953,14,45,61311,61311.0,1670
131001,15,42,60126,60126.0,1748
131036,11,24,37238,37238.0,0
131047,20,61,102905,102905.0,996
131098,14,33,44175,44175.0,1064
131228,12,32,45378,45378.0,1154
131253,11,33,55840,55840.0,432
131257,12,35,63795,63795.0,463
